empty_at,approach_at,delay_seconds
1.05,42.4,41.35
72.2,73.9,1.7000000000000028
75.7,88.2,12.5
89.95,97.45,7.5
101.05,157.8,56.750000000000014
161.4,201.05,39.650000000000006
204.5,232.1,27.599999999999994
234.15,241.0,6.849999999999994
242.5,282.25,39.75
283.75,286.8,3.0500000000000114
291.3,315.65,24.349999999999966
294.4,322.85,28.450000000000045
318.4,333.7,15.300000000000011
320.8,339.05,18.25
324.0,404.5,80.5
335.9,425.4,89.5
343.8,453.9,110.09999999999997
405.8,471.75,65.94999999999999
427.4,484.7,57.30000000000001
459.25,491.8,32.55000000000001
473.25,498.4,25.149999999999977
486.4,514.5,28.100000000000023
493.35,622.65,129.29999999999995
501.5,645.15,143.64999999999998
516.35,650.3,133.94999999999993
623.8,705.05,81.25
646.8,722.2,75.40000000000009
654.6,731.0,76.39999999999998
707.4,747.2,39.80000000000007
729.35,757.0,27.649999999999977
744.1,792.4,48.299999999999955
749.8,803.85,54.05000000000007
760.2,817.55,57.34999999999991
797.05,884.25,87.20000000000005
