frame_idx,seconds,event
1,0.05,table_occupied
21,1.05,table_empty
848,42.4,approach
848,42.4,table_occupied
1444,72.2,table_empty
1478,73.9,approach
1478,73.9,table_occupied
1514,75.7,table_empty
1764,88.2,approach
1764,88.2,table_occupied
1799,89.95,table_empty
1949,97.45,approach
1949,97.45,table_occupied
2021,101.05,table_empty
3156,157.8,approach
3156,157.8,table_occupied
3228,161.4,table_empty
4021,201.05,approach
4021,201.05,table_occupied
4090,204.5,table_empty
4642,232.1,approach
4642,232.1,table_occupied
4683,234.15,table_empty
4820,241.0,approach
4820,241.0,table_occupied
4850,242.5,table_empty
5645,282.25,approach
5645,282.25,table_occupied
5675,283.75,table_empty
5736,286.8,approach
5736,286.8,table_occupied
5826,291.3,table_empty
5848,292.4,table_occupied
5888,294.4,table_empty
6313,315.65,approach
6313,315.65,table_occupied
6368,318.4,table_empty
6392,319.6,table_occupied
6416,320.8,table_empty
6457,322.85,approach
6457,322.85,table_occupied
6480,324.0,table_empty
6674,333.7,approach
6674,333.7,table_occupied
6718,335.9,table_empty
6781,339.05,approach
6781,339.05,table_occupied
6876,343.8,table_empty
8090,404.5,approach
8090,404.5,table_occupied
8116,405.8,table_empty
8508,425.4,approach
8508,425.4,table_occupied
8548,427.4,table_empty
9078,453.9,approach
9078,453.9,table_occupied
9185,459.25,table_empty
9435,471.75,approach
9435,471.75,table_occupied
9465,473.25,table_empty
9694,484.7,approach
9694,484.7,table_occupied
9728,486.4,table_empty
9836,491.8,approach
9836,491.8,table_occupied
9867,493.35,table_empty
9968,498.4,approach
9968,498.4,table_occupied
10030,501.5,table_empty
10290,514.5,approach
10290,514.5,table_occupied
10327,516.35,table_empty
12453,622.65,approach
12453,622.65,table_occupied
12476,623.8,table_empty
12903,645.15,approach
12903,645.15,table_occupied
12936,646.8,table_empty
13006,650.3,approach
13006,650.3,table_occupied
13092,654.6,table_empty
14101,705.05,approach
14101,705.05,table_occupied
14148,707.4,table_empty
14444,722.2,approach
14444,722.2,table_occupied
14587,729.35,table_empty
14620,731.0,approach
14620,731.0,table_occupied
14882,744.1,table_empty
14944,747.2,approach
14944,747.2,table_occupied
14996,749.8,table_empty
15140,757.0,approach
15140,757.0,table_occupied
15204,760.2,table_empty
15848,792.4,approach
15848,792.4,table_occupied
15941,797.05,table_empty
16077,803.85,approach
16077,803.85,table_occupied
16153,807.65,table_empty
16174,808.7,table_occupied
16271,813.55,table_empty
16351,817.55,approach
16351,817.55,table_occupied
16383,819.15,table_empty
17685,884.25,approach
17685,884.25,table_occupied
17716,885.8,table_empty
